time,trunk_id,jam_duration,tree_size,tree_cost
0,0,1,2,4.39495
1,0,2,3,5.49369
1,2,2,2,3.29621
2,0,3,3,5.49369
2,2,3,2,3.29621
3,0,4,4,6.22618
3,2,4,3,4.0287
3,4,2,2,2.92997
4,0,5,5,6.95867
4,2,5,4,4.7612
4,4,3,4,5.85993
5,0,6,6,7.69116
5,2,6,5,5.49369
5,4,4,5,6.59242
6,0,7,6,7.69116
6,2,7,5,5.49369
6,4,5,5,6.59242
7,0,8,6,7.69116
7,2,8,5,5.49369
7,4,6,5,6.59242
7,9,1,2,4.39495
8,0,9,6,7.69116
8,2,9,5,5.49369
8,4,7,5,6.59242
8,9,2,2,4.39495
9,0,10,6,7.69116
9,2,10,5,5.49369
9,4,8,5,6.59242
9,9,3,2,4.39495
10,0,11,6,7.69116
10,2,11,5,5.49369
10,4,9,5,6.59242
10,9,4,2,4.39495
11,0,12,6,7.69116
11,2,12,5,5.49369
11,4,10,5,6.59242
11,9,5,2,4.39495
