time,trunk_id,jam_duration,tree_size,tree_cost
0,252,1,4,0.703063
0,355,1,4,5.61318
0,696,1,4,0.62741
0,741,1,2,1.11559
0,859,1,4,2.10361
0,1904,1,4,3.6418
0,1961,1,2,0.591291
0,1964,1,2,0.897351
0,2136,1,2,0.593139
0,2139,1,2,0.588876
0,2152,1,2,0.59892
0,2185,1,4,4.02491
0,2226,1,2,2.6157
0,2470,1,4,0.937719
0,2715,1,4,2.00448
0,2808,1,2,1.54624
0,3312,1,2,1.14737
0,3992,1,3,3.04705
0,4057,1,3,6.08229
0,4292,1,3,6.91129
0,4399,1,2,1.09791
0,4447,1,2,1.08135
0,4670,1,2,0.840667
0,4713,1,2,1.18017
0,4717,1,3,1.64534
0,4809,1,2,0.905534
0,4812,1,3,8.13213
0,5098,1,4,4.05584
0,5190,1,2,2.10648
0,5192,1,2,1.67217
0,5272,1,4,2.54679
0,5276,1,4,5.63204
0,6160,1,4,3.02966
0,6370,1,3,6.4874
0,8865,1,2,1.9262
0,9100,1,4,5.6085
0,10018,1,2,0.320144
0,10879,1,2,8.9052
0,11892,1,2,1.07344
0,12011,1,2,1.56747
0,12388,1,3,0.69398
0,13163,1,2,1.12944
0,13209,1,2,0.677942
0,13513,1,2,0.375593
0,14131,1,2,1.18142
0,15056,1,3,7.77211
0,15179,1,2,2.58889
0,15732,1,5,3.89399
0,16341,1,4,4.42977
0,16347,1,4,2.9905
0,16400,1,4,4.57369
0,16498,1,3,0.856761
0,17234,1,2,0.783617
0,17353,1,3,0.758585
0,17433,1,3,2.0391
0,17866,1,2,0.963523
0,17965,1,2,1.03206
0,18003,1,2,0.216413
0,20170,1,2,1.08044
0,20587,1,2,0.881576
0,20660,1,6,8.01907
0,20696,1,6,5.54295
0,21375,1,3,0.633305
0,21376,1,3,0.84453
0,21461,1,3,1.65168
0,21628,1,2,2.70331
0,21679,1,2,1.21407
0,21822,1,2,2.37809
0,22449,1,3,1.37102
0,22629,1,2,1.73277
0,23169,1,3,1.02206
0,23331,1,3,0.855143
0,23332,1,3,1.00442
0,23355,1,3,4.82478
0,23616,1,2,2.03654
0,23755,1,3,1.77122
0,23756,1,2,1.00787
0,24275,1,2,0.92566
0,24332,1,2,0.377787
0,24403,1,4,2.84927
0,24506,1,5,2.01004
0,24682,1,4,1.79784
0,24862,1,4,2.29153
0,25034,1,3,3.44547
0,25125,1,4,2.35459
0,25804,1,2,2.77119
0,26201,1,2,0.599465
0,28006,1,3,2.88474
0,28110,1,2,4.15077
0,28428,1,5,1.27793
0,28505,1,2,4.74776
0,28734,1,4,1.16594
0,28965,1,2,0.76668
0,29262,1,3,4.62418
0,29270,1,2,0.74955
0,29283,1,2,0.485348
0,29462,1,3,2.22999
0,29545,1,2,1.02739
0,30266,1,3,2.14998
0,30298,1,3,4.91095
0,30335,1,2,0.508418
0,30421,1,3,1.748
0,30510,1,2,1.39187
0,30601,1,4,1.19459
0,30647,1,3,1.23833
0,31154,1,3,4.49442
0,31897,1,6,6.0303
0,31898,1,6,3.81797
0,32160,1,5,1.97738
0,32258,1,4,1.40259
0,32753,1,4,1.52825
0,32796,1,3,1.33582
0,32915,1,4,5.83453
0,33018,1,4,1.2112
0,33069,1,2,1.171
0,33335,1,4,1.82785
0,33366,1,2,3.35064
0,33640,1,4,2.45703
0,34141,1,3,2.36126
0,34278,1,2,2.39653
0,36280,1,4,4.38045
0,36545,1,4,3.74369
0,36958,1,2,4.19393
0,37547,1,2,5.1091
0,37749,1,3,2.80791
0,38444,1,3,7.34944
0,38602,1,3,6.99145
0,39125,1,2,1.56517
0,39875,1,2,1.94685
0,39883,1,3,0.973111
0,41663,1,2,1.68461
0,42425,1,4,2.84458
0,42579,1,2,2.13848
0,43375,1,2,0.519393
0,43397,1,4,2.26224
0,43735,1,3,1.35605
0,44011,1,3,2.93431
0,44601,1,2,1.60062
0,44605,1,2,0.39233
0,44753,1,2,1.98015
0,44757,1,2,1.6849
0,45075,1,3,1.06637
0,46065,1,2,1.29081
0,46092,1,3,0.904911
0,46289,1,2,1.41014
0,46647,1,2,1.37859
0,46760,1,2,3.68236
0,47753,1,6,1.54807
0,47754,1,6,1.42072
0,48432,1,4,10.8064
0,49794,1,3,0.684024
0,50390,1,2,1.36489
0,50445,1,3,1.98959
0,50446,1,3,28.8359
0,51792,1,2,1.12376
0,52893,1,2,0.113453
0,53517,1,3,1.03157
0,53705,1,2,2.16913
0,53719,1,3,23.4615
0,53873,1,3,13.7876
0,55133,1,2,0.915037
0,55714,1,4,1.39841
0,59083,1,2,1.09708
0,59680,1,2,0.362439
0,59758,1,3,2.17477
0,59760,1,3,1.39968
0,59861,1,2,18.4208
0,59936,1,3,22.0899
0,59971,1,2,0.910757
0,60033,1,2,0.0956991
0,60099,1,3,2.61053
0,60147,1,3,1.03624
0,61286,1,8,1.26028
0,61305,1,2,1.3424
0,61381,1,2,1.6764
0,61475,1,2,0.890964
0,61810,1,5,16.2789
0,62089,1,3,20.0544
