time,trunk_id,jam_duration,tree_size,tree_cost
0,139,1,3,1.33408
0,1448,1,4,1.88056
0,2253,1,4,1.11812
0,4024,1,2,0.100211
0,4592,1,4,2.14712
0,4652,1,3,1.45784
0,7588,1,2,3.74721
0,8330,1,4,1.59411
0,8438,1,2,2.00793
0,8884,1,2,0.899151
0,9071,1,2,0.385934
0,9189,1,3,0.983025
0,9198,1,2,0.841666
0,9334,1,3,0.945219
0,12369,1,3,0.756954
0,12576,1,3,0.755753
0,13160,1,3,1.02144
0,13168,1,2,1.31459
0,14012,1,2,1.40386
0,14113,1,2,0.610322
0,14260,1,2,0.171814
0,14333,1,3,1.72313
0,14648,1,4,1.07422
0,14772,1,5,2.06503
0,14778,1,4,1.35547
0,15173,1,3,3.126
0,15405,1,6,5.95601
0,15469,1,2,0.110505
0,15810,1,3,2.38536
0,16740,1,2,0.688711
0,19981,1,2,3.19269
0,20172,1,2,0.741457
0,21145,1,2,0.442707
0,21341,1,2,0.293405
0,22574,1,2,0.567201
0,22595,1,2,0.406746
0,23743,1,3,0.698284
0,23901,1,2,0.544917
0,24399,1,3,2.9648
0,24641,1,2,0.297648
0,24715,1,4,0.0586312
0,24772,1,3,4.19263
0,25323,1,2,2.57601
0,25425,1,2,0.850713
0,25603,1,2,1.09771
0,25641,1,2,0.162276
0,25643,1,3,0.564086
0,25692,1,6,0.333053
0,25756,1,3,0.140144
0,25900,1,2,0.992687
0,26241,1,2,0.492371
0,26247,1,2,2.724
0,27230,1,2,1.59755
0,28025,1,2,0.763404
0,28584,1,2,0.729261
0,28647,1,2,1.01366
0,28981,1,4,0.728624
0,30121,1,2,0.350581
0,30305,1,5,0.931296
0,30986,1,2,0.568321
0,31659,1,2,0.507618
0,32761,1,2,1.9001
0,32859,1,3,1.55045
0,32886,1,4,0.747168
0,33331,1,2,0.906282
0,34184,1,2,0.886953
0,34195,1,2,1.16051
0,34210,1,2,0.825641
0,34212,1,6,5.20478
1,72,1,6,23.0026
1,95,1,2,1.91888
1,240,1,2,3.73359
1,712,1,2,0.541429
1,1442,1,4,2.62113
1,1448,2,4,1.88056
1,1464,1,7,7.01518
1,1997,1,2,0.0332212
1,2253,2,4,1.11812
1,4024,2,2,0.100211
1,4505,1,2,1.62678
1,4595,1,2,0.440445
1,4892,1,3,1.40888
1,7013,1,3,0.90503
1,7588,2,2,3.40876
1,8338,2,2,1.35346
1,8482,1,2,0.633852
1,8872,1,2,1.26232
1,9048,1,2,0.615763
1,9189,2,3,0.983025
1,9334,2,3,0.945219
1,9694,1,5,3.38321
1,10179,1,2,0.482825
1,11283,1,5,1.15452
1,12014,1,3,0.522527
1,12369,2,3,0.756954
1,13076,1,2,0.487957
1,13160,2,3,1.02144
1,14012,2,2,1.40386
1,14113,2,2,0.610322
1,14127,1,2,0.74631
1,14155,1,2,0.287107
1,14173,1,3,1.62734
1,14333,2,6,3.30414
1,14648,2,4,1.07422
1,14772,2,5,2.06503
1,15218,1,3,2.3378
1,15277,1,2,7.0894
1,15469,2,2,0.110505
1,15810,2,3,2.38536
1,16255,1,2,1.07933
1,16626,1,2,0.538524
1,16740,2,2,0.688711
1,17179,1,3,1.26616
1,18157,1,2,0.564497
1,18388,1,2,0.235599
1,19981,2,2,3.19269
1,20172,2,2,0.741457
1,20800,1,4,1.05767
1,20948,1,2,0.616515
1,21111,1,4,0.66862
1,21361,2,2,1.32145
1,21462,1,2,0.410643
1,22235,1,2,0.82406
1,22574,2,2,0.442195
1,22595,2,2,0.406746
1,22720,1,3,0.172951
1,23743,2,3,0.698284
1,23901,2,2,0.544917
1,24399,2,3,2.9648
1,24715,2,2,0.0234799
1,24772,2,3,4.74638
1,24774,1,2,1.72122
1,25379,1,2,2.33852
1,25425,2,2,0.850713
1,25466,1,3,1.23654
1,25479,1,2,4.17718
1,25756,2,3,0.140144
1,25761,1,2,0.285306
1,25863,1,5,2.73494
1,25868,1,3,0.758938
1,26241,2,2,0.492371
1,26355,1,2,0.426009
1,26477,1,2,0.364932
1,27198,1,4,2.06488
1,27230,2,2,1.59755
1,27533,1,2,0.787168
1,28025,2,2,0.763404
1,28581,1,2,0.373464
