time,trunk_id,jam_duration,tree_size,tree_cost
0,673,1,2,2.43677
0,1063,1,2,0.854708
0,1253,1,4,2.26525
0,1835,1,2,0.11741
0,2367,1,3,1.42386
0,2402,1,2,0.691027
0,3860,1,4,5.69651
0,3879,1,2,2.47424
0,4626,1,5,6.97803
0,5121,1,7,0.914928
0,6042,1,2,0.230197
0,6388,1,2,0.507345
0,6389,1,5,0.945723
0,8441,1,4,10.138
0,8445,1,3,5.21605
0,9591,1,4,15.1117
0,10086,1,2,7.00875
0,10171,1,10,9.27475
0,10206,1,2,1.19991
0,10279,1,3,3.41827
0,10363,1,2,0.194036
0,10396,1,2,2.03573
0,10776,1,3,0.129769
0,12861,1,2,0.786431
0,13720,1,2,1.98482
0,14603,1,2,3.0031
0,14757,1,2,2.2622
0,14939,1,2,0.607027
0,16363,1,2,0.879377
0,16616,1,3,0.566291
0,18685,1,2,2.17591
0,19060,1,3,1.2416
0,20045,1,2,2.12297
0,20492,1,2,2.08289
0,20780,1,2,0.331882
1,792,1,2,0.916474
1,810,1,3,4.17265
1,1253,2,5,7.05335
1,2402,2,2,0.611756
1,4626,2,6,9.56526
1,5540,1,3,0.772368
1,6042,2,2,0.230197
1,6308,1,3,0.37456
1,7207,1,2,0.747182
1,7317,1,3,0.921137
1,7480,1,3,1.26031
1,8441,2,4,10.138
1,8920,2,2,7.5306
1,8954,1,2,2.90064
1,8958,2,3,5.24773
1,9081,1,2,4.45036
1,9089,1,2,0.579712
1,9456,1,6,1.94292
1,9626,1,2,0.963694
1,9651,1,4,0.889073
1,9721,1,3,1.45343
1,9949,1,9,51.6788
1,10086,2,2,7.00875
1,10139,1,3,1.67282
1,10171,2,7,5.15912
1,10206,2,2,0.881666
1,10239,1,7,2.60209
1,10255,1,4,1.6101
1,10279,2,3,2.78026
1,10363,2,2,0.194036
1,10396,2,2,2.03573
1,10480,1,7,1.17078
1,10575,1,8,2.04526
1,10776,2,3,0.129769
1,10859,1,2,0.452183
1,12286,1,2,0.134517
1,12751,1,5,2.07447
1,13684,1,2,0.123636
1,13811,1,2,1.07381
1,14200,1,2,1.09517
1,14692,1,5,2.83377
1,14747,1,2,2.13461
1,14757,2,5,3.32819
1,14768,1,2,1.00197
1,14777,1,2,2.02893
1,14841,1,10,6.03913
1,14853,1,4,1.85837
1,14923,2,2,1.27106
1,14939,2,2,0.607027
1,14941,1,3,2.76306
1,14942,1,2,2.05559
1,16371,1,3,1.06636
1,16616,2,3,0.566291
1,16627,1,2,0.92256
1,18265,1,2,0.734038
1,18693,1,7,4.27467
1,18739,1,3,3.42919
1,18902,2,4,2.63795
1,19060,2,2,0.0637773
1,19191,1,4,3.48357
1,20780,2,2,0.352976
1,21402,1,2,1.11106
2,627,1,2,0.209758
2,738,1,2,0.101729
2,938,1,2,1.42941
2,990,1,2,0.0629326
2,1089,3,3,2.92372
2,1810,1,2,0.544037
2,2024,1,3,3.65545
2,2641,1,2,0.701554
2,3157,1,5,2.96151
2,3860,1,3,6.19036
2,4459,1,5,0.340709
2,5540,2,5,1.15214
2,6344,1,2,0.987057
2,7207,2,2,1.06488
2,7317,2,3,0.921137
2,7480,2,3,1.26031
2,8920,3,2,6.05109
2,8958,3,3,0.386332
2,9270,1,2,2.36635
2,9456,2,6,1.94292
2,9626,2,2,0.963694
2,9651,2,4,0.889073
2,9953,2,3,4.88685
2,9979,1,2,14.2802
2,10007,1,5,9.49469
2,10153,1,3,1.78098
2,10171,3,6,3.55379
2,10228,1,2,0.986741
2,10279,3,2,1.35259
2,10307,1,2,1.98536
2,10363,3,2,0.194036
2,10491,1,4,3.59286
2,10492,1,2,0.611396
2,10575,2,2,1.05685
2,10907,1,3,1.13441
2,12286,2,2,0.134517
2,12751,2,5,2.07447
2,13564,1,7,4.9495
2,13631,1,2,3.27381
2,14600,1,3,2.01577
2,14688,1,6,4.30312
2,14757,3,5,3.873
2,14768,2,2,1.00197
2,14788,1,4,2.14361
2,14853,2,4,1.85837
2,14874,2,3,0.201444
2,14923,3,3,3.33777
2,14941,2,3,2.76306
2,15172,1,3,4.03626
2,16506,1,8,1.84097
2,17311,1,4,0.747387
2,17555,1,5,2.44104
2,18693,2,7,4.27467
