time,trunk_id,jam_duration,tree_size,tree_cost
0,20,1,2,1.42079
0,110,1,2,1.8734
0,1072,1,4,3.81836
0,1338,1,4,3.29101
0,1409,1,4,1.45091
0,3074,1,2,0.371216
0,3121,1,2,0.317467
0,3393,1,2,0.472908
0,3731,1,2,0.759231
0,4131,1,2,13.3077
0,4521,1,5,1.51927
0,4567,1,2,0.205046
0,4805,1,2,11.6918
0,5086,1,2,2.85381
0,7724,1,2,4.32986
0,8840,1,4,1.8463
0,9573,1,2,0.413505
0,9687,1,2,0.913097
0,9748,1,2,1.69995
0,10054,1,5,2.00482
0,10194,1,2,1.5912
0,10487,1,2,0.371217
0,10704,1,3,1.59459
0,11233,1,2,1.19531
0,11757,1,4,1.25498
0,11821,1,3,1.03802
0,11881,1,2,1.15015
0,12071,1,3,0.384144
0,12296,1,2,0.61478
0,13096,1,2,0.167544
0,13305,1,2,0.193084
0,13378,1,4,1.17455
0,13991,1,5,1.59314
0,14868,1,2,0.737167
0,15200,1,2,1.04051
0,15655,1,2,0.610177
0,15774,1,2,0.273465
0,16086,1,3,0.640778
0,16617,1,5,2.45575
0,16700,1,3,0.518963
0,16769,1,6,0.916372
0,17028,1,2,0.722749
0,17681,1,2,0.452723
0,18852,1,2,0.305751
0,19660,1,2,0.341953
0,20865,1,4,0.164941
0,20897,1,2,0.703394
0,20946,1,6,2.17499
0,20979,1,2,1.3886
0,21243,1,4,0.209492
0,22281,1,2,0.849478
0,22363,1,2,0.858822
0,23238,1,3,0.431271
0,23340,1,2,0.957176
0,23765,1,3,1.48463
0,24214,1,5,1.47311
0,24224,1,2,0.773072
0,24631,1,9,2.48184
0,25098,1,2,1.36434
0,25649,1,2,0.843756
0,25657,1,5,1.68382
0,26621,1,7,1.79177
0,27315,1,3,2.57244
0,27785,1,2,0.745253
0,28163,1,4,0.6319
0,29164,1,4,2.14599
0,30246,1,2,2.61015
0,30556,1,2,1.88423
0,30645,1,2,3.50449
0,30907,1,4,2.62891
0,30936,1,5,4.10159
0,30942,1,5,6.36924
0,30984,1,4,4.50527
