time,trunk_id,jam_duration,tree_size,tree_cost
0,167,1,4,1.52874
0,171,1,4,0.718131
0,382,1,3,0.834293
0,397,1,2,0.145107
0,597,1,3,0.28905
0,674,1,4,0.261468
0,738,1,2,1.06064
0,810,1,5,0.971362
0,1082,1,2,0.103765
0,1158,1,4,2.98163
0,1190,1,7,1.57038
0,1434,1,2,0.377329
0,1487,1,5,0.90236
0,1510,1,8,1.31805
0,1687,1,2,0.277717
0,1717,1,2,0.068079
0,1826,1,2,2.68406
0,2048,1,3,0.181985
0,2119,1,2,0.195638
0,2292,1,2,0.170361
0,2299,1,2,0.517861
0,2302,1,2,0.44175
0,2346,1,2,0.0838515
0,2347,1,2,0.0985707
0,2499,1,5,1.68374
0,2506,1,2,0.291669
0,2514,1,3,0.682008
0,2655,1,3,0.605757
0,2668,1,7,0.548408
0,2785,1,2,0.157464
0,2816,1,2,0.159623
0,3084,1,2,0.121553
0,3133,1,2,0.342602
0,3173,1,2,0.108872
0,3176,1,2,0.145922
0,3214,1,2,0.0505226
0,3217,1,3,0.158157
0,3396,1,4,0.232217
0,3432,1,2,1.22624
0,3642,1,4,0.767454
0,3645,1,2,0.152316
0,3716,1,2,0.186602
0,3791,1,4,4.90425
0,3980,1,12,2.73157
0,3984,1,24,1.89863
0,4301,1,3,0.0313811
0,4313,1,3,0.153311
0,4520,1,5,1.92003
0,4714,1,3,0.507153
0,4847,1,2,0.293462
0,4932,1,3,1.27966
0,5008,1,2,0.381689
0,5039,1,4,1.77235
0,5063,1,2,0.160226
0,5265,1,2,0.135197
0,5652,1,3,12.5285
0,5753,1,4,0.535036
0,5939,1,3,1.92648
0,6119,1,10,1.92479
0,6573,1,4,1.94948
0,6635,1,2,0.739935
0,6711,1,2,0.835182
0,6756,1,6,1.69863
0,6780,1,2,0.0796858
0,6786,1,3,0.0549525
0,6809,1,2,0.288294
0,6811,1,4,1.35519
0,7020,1,4,1.13203
0,7098,1,4,0.441624
0,7131,1,2,0.106176
0,7273,1,11,0.716274
0,7402,1,2,0.374557
0,7803,1,25,2.01813
0,7888,1,4,0.87238
0,8070,1,4,2.95732
0,8090,1,2,0.207598
0,8437,1,2,0.373678
0,8485,1,3,2.9494
0,8543,1,2,0.187728
0,8748,1,12,1.17521
0,9005,1,2,0.115469
0,9042,1,2,0.090497
0,9216,1,25,2.13459
0,9239,1,2,1.01586
0,9243,1,3,0.636536
0,9833,1,2,0.410628
0,10033,1,3,0.382719
0,10042,1,3,0.611745
0,10234,1,7,1.33074
0,10286,1,3,0.706306
0,10402,1,2,2.55386
0,10510,1,5,0.962373
0,10585,1,2,0.257815
0,10590,1,2,1.34239
0,10671,1,2,0.175161
0,10694,1,2,0.350191
0,10843,1,2,0.227309
0,10862,1,2,0.118858
0,10889,1,4,1.34641
0,11043,1,5,1.17822
0,11263,1,4,0.939975
0,11286,1,5,0.962327
0,11577,1,2,1.02699
0,11589,1,2,2.35303
0,11652,1,2,0.0679568
0,11942,1,2,0.654006
0,12068,1,2,0.0205481
0,12283,1,9,18.175
0,12425,1,12,5.2944
0,12474,1,2,0.244944
0,12506,1,4,0.24083
0,12594,1,3,8.72387
0,12646,1,3,0.249582
0,12793,1,3,0.394009
0,12813,1,2,7.86655
0,12833,1,3,0.181055
0,13003,1,2,0.407797
0,13025,1,5,0.93749
0,13034,1,11,2.13853
0,13046,1,2,1.52733
0,13168,1,2,0.272279
0,13264,1,2,0.0767785
0,13275,1,4,0.635846
0,13336,1,9,1.73907
0,13388,1,2,0.0294981
0,13411,1,5,1.85357
0,13412,1,7,3.92745
0,13416,1,17,1.84296
0,13441,1,3,0.474318
0,13444,1,3,0.72075
0,13455,1,4,0.722268
0,13467,1,2,2.56971
